start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1760572800,1760659200,2025-10-16T00:00:00+00:00,2025-10-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760659200,1760745600,2025-10-17T00:00:00+00:00,2025-10-18T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,3.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-2024-08-06,False,default,11576.0,67.0,4096.0,7480.0,7480.0,67.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0
1760745600,1760832000,2025-10-18T00:00:00+00:00,2025-10-19T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,1.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-2024-08-06,False,default,4949.0,7.0,4864.0,85.0,85.0,7.0,4864.0,0.0,0.0,0.0,0.0,0.0,0.0
1760745600,1760832000,2025-10-18T00:00:00+00:00,2025-10-19T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,12.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,14424.0,8662.0,0.0,14424.0,14424.0,8662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760832000,1760918400,2025-10-19T00:00:00+00:00,2025-10-20T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1760918400,1761004800,2025-10-20T00:00:00+00:00,2025-10-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761004800,1761091200,2025-10-21T00:00:00+00:00,2025-10-22T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091200,1761177600,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761177600,1761264000,2025-10-23T00:00:00+00:00,2025-10-24T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,1.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-2024-08-06,False,default,4950.0,11.0,0.0,4950.0,4950.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761264000,1761350400,2025-10-24T00:00:00+00:00,2025-10-25T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,315.0,user-h9IJExeN175aljtas2eCv0ph,key_q70dU93ewp5jS9Wk,gpt-4o-mini-2024-07-18,False,default,349598.0,60900.0,26240.0,323358.0,323358.0,60900.0,26240.0,0.0,0.0,0.0,0.0,0.0,0.0
1761350400,1761436800,2025-10-25T00:00:00+00:00,2025-10-26T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,21.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4-0613,False,default,124888.0,6395.0,0.0,124888.0,124888.0,6395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761436800,1761523200,2025-10-26T00:00:00+00:00,2025-10-27T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761523200,1761609600,2025-10-27T00:00:00+00:00,2025-10-28T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761609600,1761696000,2025-10-28T00:00:00+00:00,2025-10-29T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,192.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,1652852.0,73466.0,1493760.0,159092.0,159092.0,73466.0,1493760.0,0.0,0.0,0.0,0.0,0.0,0.0
1761696000,1761782400,2025-10-29T00:00:00+00:00,2025-10-30T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,1025.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,12628182.0,413098.0,11752704.0,875478.0,875478.0,413098.0,11752704.0,0.0,0.0,0.0,0.0,0.0,0.0
1761782400,1761868800,2025-10-30T00:00:00+00:00,2025-10-31T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,811.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,11293722.0,334679.0,10550656.0,743066.0,743066.0,334679.0,10550656.0,0.0,0.0,0.0,0.0,0.0,0.0
1761868800,1761955200,2025-10-31T00:00:00+00:00,2025-11-01T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,1017.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,14048826.0,404800.0,13333248.0,715578.0,715578.0,404800.0,13333248.0,0.0,0.0,0.0,0.0,0.0,0.0
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,473.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,6607440.0,199843.0,6169472.0,437968.0,437968.0,199843.0,6169472.0,0.0,0.0,0.0,0.0,0.0,0.0
1762041600,1762128000,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,212.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-mini-2024-07-18,False,default,2988353.0,84617.0,2722816.0,265537.0,265537.0,84617.0,2722816.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_Mjug2xdPyMIJI7TZrFAie6LO,1.0,user-h9IJExeN175aljtas2eCv0ph,key_bCDid4H7y2sKejPG,gpt-4o-2024-08-06,False,default,1599.0,21.0,0.0,1599.0,1599.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
